sentiment,tweet_text
0.0,"USRTOK liebe corinna, wir würden dich gerne als moderatorin für uns gewinnen! wärst du begeisterbar?"
0.0,"USRTOK sie haben ja auch recht. unser tweet war etwas missverständlich. dass das bverfg sachleistungen nicht ausschließt, kritisieren wir."
0.0,USRTOK fröhlicher gruß aus der schönsten stadt der welt theo ⚓️
0.0,USRTOK amis hätten alles und jeden gewählt...nur hillary wollten sie nicht und eine fortsetzung von obama-politik erst recht nicht..!
1.0,USRTOK kein verläßlicher verhandlungspartner. nachkarteln nach den sondierzngsgesprächen - schickt diese stümper #spd in die versenkung.
0.0,"USRTOK ja, aber wo widersprechen die zahlen denn denen, die im von uns verlinkten artikel stehen? in unserem tweet geht es rein um subs. geschützte. 2017 ist der gesamte familiennachzug im vergleich zu 2016 - die zahlen, die hr. brandner bemüht - übrigens leicht rückläufig gewesen."
1.0,USRTOK 33 bis 45 habe ich noch gar nicht gelebt und es geht mir am arsch vorbei was in dieser zeit geschehen ist. ich lebe im heute und jetzt und nicht in der vergangenheit.
0.0,USRTOK USRTOK wieso? was findest du da unklar?
1.0,USRTOK euere afd hetze wirkt. da könnt ihr stolz sein bei #ard-fernsehen
1.0,"deutsche medien, halbwahrheiten und einseitige betrachtung, wie bei allen vom staat finanzierten ""billigen"" propagandainstitutionen 😜"
0.0,USRTOK USRTOK er hat heute morgen auch schäuble getroffen. das ist einfach nur unfassbar
1.0,USRTOK oman ralle..dich mag ja immer noch keiner. du willst das die hetze gegen dich aufhört? |lbr| geh in rente und verzichte auf die 1/2deiner pension
0.0,"klausurtagung der csu hat eher fragezeichen vermehrt, ob union die kraft hat, die erforderlichen veränderungen von europa bis digitalisierung, bei arbeit und rente, bei bildung und familie, bei gesundheit und wohnen, bei pflege und steuern, bei integration etc. anzugehen."
0.0,"den türken ist die souveränität der niederlande egal. sie wollen dort |lbr| bestimmen. so geht das nicht. ausweisen, wem das nicht passt."
0.0,"USRTOK USRTOK auweia. es geht nicht darum, dass man uns ""toll"" finden muss. aber man könnte zumindest versuchen zu verstehen, was wir machen und wie wir das finanzieren, bevor man einfach falsche schlussfolgerungen zieht und diese schamlos verbreitet. schafft aber scheinbar nicht jeder."
0.0,"USRTOK USRTOK na, geht doch. jetzt muss noch USRTOK in einer nachtsitzung angela merkel die obergrenze abhandeln, dann kann schwarz-grün-dunkelrot noch vor weihnachten die amtseide ablegen."
1.0,"für mich ist der morgige tag ein tag der ""größten deutschen schweinerei"" seit 1945, eine riesen mogelpackung bekloppter politiker🤢"
0.0,USRTOK das lassen die 🇩🇪 nicht zu....und wenn sie gegen ihren eigenen willen festgehalten werden... |lbr| es ist leicht nach 🇩🇪einzureisen...aber raus?
0.0,"USRTOK ich finde deutsche haben noch eine chance verdient...auch wenn ich ein teil meiner landsleute nicht besonders mag, aber sie sollten nochmals wählen dürfen...!"
0.0,"#dieselgipfel: automobilindustrie muss schadstoffe reduzieren – schnell, gesetzestreu, technisch sauber und transparent nachvollziehbar (2)"
0.0,USRTOK USRTOK das sitzt die doch aus - teflon-merkel ist ihr spitzname in der schweiz - an der prallt alles ab.
0.0,USRTOK USRTOK USRTOK was laberst du jetzt von.inzucht schau mal an was dein schönes multikulti mit deutschland gemacht hat
0.0,USRTOK hast du schon das initiationritual hinter dir?
0.0,diese woche hatten wir die gelegenheit uns mit 4 kurdischen bürgermeister*innen der hdp zu vernetzen! USRTOK USRTOK
